,eta_d,c_hat,c_c,eta_c,tau_SD,c_d,E,lc,dt
353,0.5,2.0,350.0,0.95,10.0,350.0,0.745,0.621,49.438
625,0.5,2.0,490.0,0.95,10.0,490.0,0.133,0.106,55.741
571,0.5,2.0,350.0,0.5,10.0,490.0,0.0,0.0,83.167
463,0.5,2.0,700.0,2.0,30.0,350.0,3.054,6.82,54.493
401,0.25,2.0,490.0,2.0,30.0,350.0,0.007,0.008,60.634
621,0.25,2.0,490.0,2.0,30.0,490.0,0.0,0.0,110.0
405,0.5,2.0,490.0,0.95,10.0,350.0,0.373,0.289,45.853
573,0.5,2.0,350.0,0.5,30.0,490.0,0.1,0.059,71.577
575,0.5,2.0,350.0,0.95,10.0,490.0,0.487,0.384,65.883
409,0.5,2.0,490.0,0.95,30.0,350.0,1.123,0.691,56.251
617,0.25,2.0,490.0,2.0,10.0,490.0,0.0,0.0,70.25
457,0.5,2.0,700.0,2.0,10.0,350.0,2.019,5.275,44.792
454,0.5,2.0,700.0,0.95,30.0,350.0,0.591,0.36,47.721
397,0.25,2.0,490.0,2.0,10.0,350.0,0.0,0.0,93.75
413,0.5,2.0,490.0,2.0,10.0,350.0,2.382,7.946,39.459
451,0.5,2.0,700.0,0.95,10.0,350.0,0.015,0.012,37.737
579,0.5,2.0,350.0,0.95,30.0,490.0,1.289,0.912,77.292
605,0.95,2.0,350.0,0.95,10.0,490.0,3.837,8.166,54.546
448,0.25,2.0,700.0,2.0,30.0,350.0,0.0,0.0,98.0
601,0.95,2.0,350.0,0.5,30.0,490.0,3.483,1.544,93.661
425,0.95,2.0,490.0,0.5,10.0,350.0,1.069,0.621,52.056
445,0.25,2.0,700.0,2.0,10.0,350.0,0.0,0.0,44.5
429,0.95,2.0,490.0,0.5,30.0,350.0,2.679,1.164,75.113
597,0.95,2.0,350.0,0.5,10.0,490.0,1.444,0.926,61.847
583,0.5,2.0,350.0,2.0,10.0,490.0,2.456,8.848,41.252
439,0.95,2.0,490.0,0.95,30.0,350.0,7.331,7.959,89.997
433,0.95,2.0,490.0,0.95,10.0,350.0,3.445,6.673,52.881
611,0.95,2.0,350.0,0.95,30.0,490.0,6.812,9.521,79.654
549,0.95,2.0,35.0,0.95,10.0,490.0,5.758,12.386,59.799
567,0.25,2.0,350.0,2.0,30.0,490.0,0.028,0.031,89.331
629,0.5,2.0,490.0,0.95,30.0,490.0,0.699,0.467,65.412
665,0.25,2.0,700.0,2.0,10.0,490.0,0.0,0.0,inf
495,0.25,2.0,35.0,2.0,10.0,490.0,0.852,1.564,63.413
492,0.25,2.0,35.0,0.95,30.0,490.0,0.476,0.566,83.948
357,0.5,2.0,350.0,0.95,30.0,350.0,1.586,1.124,62.597
659,0.95,2.0,490.0,0.95,30.0,490.0,6.804,7.595,90.061
361,0.5,2.0,350.0,2.0,10.0,350.0,2.735,9.884,38.788
489,0.25,2.0,35.0,0.95,10.0,490.0,0.259,0.347,79.503
653,0.95,2.0,490.0,0.95,10.0,490.0,3.298,6.317,55.277
487,0.25,2.0,35.0,0.5,30.0,490.0,0.152,0.173,85.941
367,0.5,2.0,350.0,2.0,30.0,350.0,4.26,11.43,53.432
649,0.95,2.0,490.0,0.5,30.0,490.0,2.481,1.078,79.586
485,0.25,2.0,35.0,0.5,10.0,490.0,0.051,0.065,84.503
469,0.95,2.0,700.0,0.5,10.0,350.0,0.606,0.35,45.909
555,0.95,2.0,35.0,0.95,30.0,490.0,8.838,13.937,80.518
375,0.95,2.0,350.0,0.25,30.0,350.0,1.069,0.414,62.725
480,0.95,2.0,700.0,0.95,30.0,350.0,6.377,5.427,97.223
377,0.95,2.0,350.0,0.5,10.0,350.0,1.56,1.0,59.263
645,0.95,2.0,490.0,0.5,10.0,490.0,0.906,0.537,52.894
381,0.95,2.0,350.0,0.5,30.0,350.0,3.757,1.659,89.15
639,0.5,2.0,490.0,2.0,30.0,490.0,3.396,8.66,55.551
563,0.25,2.0,350.0,2.0,10.0,490.0,0.0,0.0,68.25
475,0.95,2.0,700.0,0.95,10.0,350.0,2.688,3.987,56.291
