,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
cap_coal [GW],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
cap_nuclear [GW],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,7.162,0.006,6.65,0.012,5.777,0.013,0.006,0.001,7.165,0.006,3.987,6.182,0.005,6.902,4.759,7.153,0.009,0.001,7.129,3.416,0.002
sector,,,,,,,,,,,,T-H,T-H-I-B,T-H,T-H-I-B,T-H,T-H-I-B,T-H,T-H,T-H,T-H-I-B,T-H,T-H-I-B,T-H-I-B,T-H,T-H-I-B,T-H-I-B,T-H-I-B,T-H,T-H,T-H-I-B,T-H-I-B,T-H
AL0 0 X Store,0.005,0.004,0.006,0.01,0.012,0.005,0.004,0.004,0.006,0.011,0.005,0.037,0.008,0.205,0.012,0.052,0.357,0.082,4.416,9.235,0.07,0.421,4.46,0.017,8.098,0.012,0.096,0.083,0.031,0.012,0.009,10.422,0.007
AT0 0 X Store,0.009,0.015,0.029,0.026,0.019,0.022,0.005,0.006,0.031,0.03,0.014,0.04,0.008,0.13,0.024,0.067,1.472,0.1,0.117,0.026,0.082,0.138,119.353,0.041,0.195,0.022,60.088,0.113,0.032,0.011,0.015,154.943,0.01
BA0 0 X Store,0.004,0.003,0.004,0.004,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.035,0.008,0.057,0.007,0.048,0.081,0.061,0.04,0.008,0.069,0.05,0.026,0.007,0.056,0.009,0.011,0.079,0.029,0.006,0.008,0.034,0.006
BE0 0 X Store,0.013,0.03,0.081,0.135,0.111,0.047,0.005,0.007,0.083,0.11,0.023,0.046,0.009,0.363,0.175,0.089,43.789,0.179,0.597,1.671,0.095,0.52,111.009,3.632,14.857,0.054,105.081,0.169,0.035,0.024,0.028,133.831,0.015
BG0 0 X Store,0.004,0.004,0.005,0.007,0.007,0.004,0.004,0.004,0.005,0.008,0.005,0.036,0.008,0.338,0.015,0.052,1.543,0.096,10.228,21.857,0.071,1.057,37.87,0.028,24.676,0.013,21.051,0.083,0.03,0.015,0.009,48.188,0.008
CH0 0 X Store,0.011,0.025,14.157,100.116,114.552,0.075,0.005,0.006,0.703,50.591,0.019,0.04,0.008,0.126,0.012,0.067,0.183,0.098,0.154,0.045,0.076,0.141,0.049,0.013,0.46,0.015,0.028,0.095,0.032,0.011,0.011,0.079,0.01
CZ0 0 X Store,0.006,0.005,0.007,0.008,0.006,0.006,0.004,0.005,0.008,0.009,0.007,0.036,0.008,0.081,0.016,0.056,0.288,0.076,0.065,0.014,0.074,0.074,0.596,0.02,0.104,0.017,0.068,0.097,0.029,0.008,0.012,5.218,0.008
