,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
HR0 0 X Store,0.003,0.008,0.006,0.012,0.005,0.004,0.004,0.008,0.005,0.004,0.008,0.073,0.092,0.012,0.007,0.13,0.008,0.039,0.004,0.062,0.005,0.058,0.05,0.004,0.127,0.072,0.008,0.008,0.007,0.005,0.082,0.073,0.066,0.047,0.087,0.013
HU0 0 X Store,0.003,0.007,0.006,0.011,0.005,0.004,0.004,0.006,0.005,0.004,0.007,0.074,0.086,0.012,0.007,0.111,0.008,0.038,0.004,0.061,0.005,0.052,0.049,0.004,0.109,0.07,0.009,0.008,0.007,0.005,0.074,0.068,0.057,0.046,0.088,0.013
IE4 0 X Store,0.034,10.117,4.877,18.744,0.242,0.02,0.06,10.597,0.842,0.007,14.366,66.223,183.571,147.535,0.035,208.374,79.111,0.086,55.924,22.872,20.369,64.539,15.647,3.849,76.98,30.406,36.291,102.818,0.052,14.402,47.801,38.09,68.756,9.925,44.003,160.903
IT0 0 X Store,0.005,73.785,26.687,121.301,0.011,0.005,0.007,57.201,0.017,0.004,97.823,0.095,101.069,0.019,0.007,218.568,0.011,0.041,0.006,0.094,0.005,38.079,0.07,0.035,142.949,0.13,0.01,0.011,0.008,0.007,0.456,0.178,94.557,0.057,0.104,0.053
IT1 0 X Store,0.01,15.719,14.494,18.555,2.744,0.007,0.029,13.985,7.061,0.004,16.68,0.099,6.624,0.021,0.007,10.74,0.012,0.042,0.006,0.107,0.005,12.236,0.077,11.388,18.458,0.166,0.01,0.011,0.008,0.007,6.517,0.352,12.816,0.061,0.103,2.095
LT6 0 X Store,0.005,0.016,0.012,0.023,0.008,0.006,0.006,0.014,0.009,0.004,0.02,0.249,0.834,0.11,0.009,1.078,0.047,0.079,0.016,0.201,0.007,0.271,0.13,0.008,0.76,0.266,0.016,0.052,0.018,0.012,0.365,0.321,0.4,0.101,0.194,0.143
LU0 0 X Store,17.17,34.052,38.908,28.136,30.752,0.04,24.355,40.51,35.221,0.006,31.516,0.38,34.419,18.06,0.009,39.546,0.111,0.045,0.022,0.148,0.008,0.944,0.098,36.448,13.594,0.211,0.017,9.622,0.01,0.009,0.657,0.299,9.031,0.078,0.218,26.851
LV6 0 X Store,0.005,0.016,0.012,0.023,0.008,0.006,0.006,0.014,0.009,0.004,0.02,0.343,6.744,4.23,0.009,10.949,0.099,0.08,0.021,0.204,0.008,0.272,0.131,0.008,0.763,0.27,0.018,0.192,0.018,0.012,0.373,0.329,0.4,0.102,0.233,11.931
ME0 0 X Store,0.003,0.018,0.008,1.012,0.005,0.004,0.004,0.013,0.005,0.004,0.037,0.077,0.34,0.015,0.007,1.514,0.009,0.039,0.005,0.071,0.005,0.107,0.054,0.005,0.368,0.087,0.009,0.009,0.007,0.005,0.133,0.101,0.149,0.048,0.088,0.022
MK0 0 X Store,0.003,0.017,0.008,0.932,0.005,0.004,0.004,0.014,0.005,0.004,0.039,0.08,2.194,0.019,0.007,4.881,0.01,0.04,0.005,0.087,0.005,3.829,0.063,0.005,6.499,0.126,0.009,0.01,0.007,0.006,1.479,0.203,4.908,0.052,0.091,0.063
